State,Watershed,Lake,STAID,Site,Base Field ID,Lat,Lon,Description,Quarterly 4433,4433 with passive,Water column passive,Pore water passive,sediment PAHs,Notes
MN,St. Louis,Superior,4024000,"ST. LOUIS RIVER AT SCANLON, MN",SLR,46.703277,-92.418802,Standard GLRI site,1,,1,1,1,
WI,Milwaukee,Michigan,4087170,"MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI",MIM,43.02444444,-87.8983333,Too deep for pore water sampler,1,,1,0,1,
WI,Milwaukee,Michigan,431046087595401,"NORTHRIDGE LAKE SITE NTR.1 nr MILWAUKEE,WI",NRL,43.18041,-88.00278,Easy access; keep in backpocket in case we need it,,,1,1,1,
WI,Milwaukee,Michigan,4087000,"MILWAUKEE RIVER AT MILWAUKEE, WI",MIE,43.10058,-87.90986,Probably not signif. different than North Ave; only use if North Ave doesn't work out,,,1,1,1,
WI,Milwaukee,Michigan,40870112,Milwaukee River at Walnut Street at Milwaukee,MIP,43.05107,-87.90772,Called Milwaukee River at Pleasant Street for pilot deployment,,,1,1,1,
WI,Milwaukee (Meno),Michigan,4087040,"MENOMONEE RIVER AT BUTLER, WI",MEB,43.11307,-88.06986,Decent sediment; easy sampling site; ask Krista about depth; US of Little Menom,,,1,1,1,
WI,Milwaukee (Meno),Michigan,4087072,"LITTLE MENOMONEE River AT LOVERS LN AT MILWAUKEE, WI",LML,43.10615,-88.05347,"Good, lots of sediment; as deep as it's going to get; DS site",,,1,1,1,
WI,Milwaukee (Meno),Michigan,40870837,"MENOMONEE RIVER AT RIDGE BLVD AT WAUWATOSA, WI",MER,43.06555556,-88.0368611,Deeper spots,,,1,1,1,
WI,Milwaukee (Meno),Michigan,4087098,"Menomonee River Above Church St. at Wauwatosa, WI",MEC,43.0503333,-88.0148167,T.I.E. site,,,1,1,1,
WI,Milwaukee (Meno),Michigan,4087141,"Menomonee River near N. 25th St. at Milwaukee, WI",MET,43.0324,-87.94621,MMSD own building there? (possible access),,,1,1,1,
WI,Milwaukee (Meno),Michigan,4087014,"Menomonee River at CTH F near Germantown, WI",MEF,43.236,-88.119,,,,,,,
WI,Milwaukee (KK),Michigan,40871607,"Kinnickinnic River at Lincoln Ave at Milwaukee, WI",KKL,43.00578,-87.9138,Pilot deployed downstream from Lincoln about 2/3 of the way to Becher near right bank,,,1,1,1,
WI,Milwaukee (Meno),Michigan,40870855,"Underwood Creek at Juneau Blvd. at Elm Grove, WI",UCJ,43.046,-88.081,,,,,,,
WI,Root,Michigan,4087213,"ROOT RIVER AT LAYTON AVENUE AT GREENFIELD, WI",RRL,42.95888889,-88.04,Fish cage data; thigh depth by the bridge; wetland nature could bring fines; bike path can be used for access,,,1,1,1,
WI,Root,Michigan,4087220,"Root River near Franklin, WI",RRR,42.8736111,-87.9958333,Doesn't gain much in interesting LC between here and Grange,,,1,1,1,
WI,Root,Michigan,4087241,"Root River near Clayton Park at Racine, WI",RRC,42.724153,-87.796797,Possible site--need to recon and coordinate with Racine,,,1,1,1,
WI,Oak,Michigan,4087206,"Oak Creek at Mill Pond at South Milwaukee, WI",OCM,42.9131278,-87.8546056,upstream end of mill pond,,,1,1,1,
WI,Manitowoc,Michigan,4085427,"MANITOWOC RIVER AT MANITOWOC, WI",MAM,44.10616667,-87.7160278,GLRI site,1,,1,1,1,
WI,Fox,Michigan,4084468,"GARNERS CREEK AT PARK STREET AT KAUKAUNA, WI",GCK,44.264711,-88.305386,,,,,,,
WI,Fox,Michigan,40851379,"EAST RIVER BELOW CEDAR ST AT GREEN BAY, WI",ERG,44.514852,-88.001329,,,,,,,
WI,Fox,Michigan,408442390,"WEST BR MUD CREEK BELOW CTH BB AT APPLETON, WI",WMC,44.240625,-88.462987,,,,,,,
WI,Fox,Michigan,408507150,"ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",ACA,44.466375,-88.064232,,,,,,,
WI,Bad,Superior,4027000,"BAD RIVER NEAR ODANAH, WI",BRO,46.4866144,-90.696297,GLRI site,1,,1,1,1,
IN,Indiana Harbor Canal,Michigan,4092750,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",IHC,41.649202,-87.468653,"Limit this watershed to the downstream site. May not be able to do pore water, but they will look into it.",1,,1,0,1,Pore water passive and sediment samples possible with EPA help
IN,Burns Ditch,Michigan,4095090,"PORTAGE-BURNS WATERWAY AT PORTAGE, IN",PBW,41.622259,-87.175869,Not a good site for pore water samplers,1,,1,0,1,
IN,Burns Ditch,Michigan,413538087022402,"COFFEE CR DS OF 1100 N NR CHESTERTON, IN",CCU,41.59388889,-87.04,Estimated coords--needs actual. Mainly agriculture,,,1,1,1,
IN,Burns Ditch,Michigan,413701087030001,"COFFEE CREEK AT CHESTERTON, INDIANA",CCD,41.61694444,-87.05,Estimated coords--needs actual. After urban contributions from Chesterton,,,1,1,1,
MI,Clinton,Erie,4165500,"Clinton River at Moravian Drive at Mount Clemens, MI",CRM,42.59586743,-82.90880998,Main site,1,,1,1,1,"Done passives here in the past, Super silty off of bank, move upstream or downstream should be good, channel gets deep quick, passives have been put in on both sides of channel"
